sensor,file_name,stripe_count,area_ratio,aspect_ratio,curvature,mean_snr,mean_contrast,norm_spacing
SAR,646.png,1,0.001363753883840857,21.735642159512622,0.04600733543530017,0.039215101883577075,0.006722015102946684,0.0
SAR,268.png,10,0.677935228921001,2.096149535175394,0.04672718893302958,0.8761539824739131,0.10469550232587241,0.04675709544929363
SAR,268.png,2,0.023746489915741797,4.518071522070433,0.024677895671476137,0.5213508625443835,0.0683399675835334,0.06705126740948275
SAR,268.png,1,0.0017552002699461333,60.03139717007348,0.012217194570135747,0.5111528109930805,0.06494512950525133,0.0
SAR,268.png,3,0.006744831457451528,1.9986488868632986,0.05591358005993896,0.572822189137695,0.07418852409019357,0.016852013997865546
SAR,s1a-iw-grd-vv-20171221t214151-20171221t214216-019806-021b0b-001.png,4,0.049820934168629094,9.058476266601122,0.036919678739219426,0.2585916193563005,0.025104420516214965,0.03913097754451765
SAR,s1a-iw-grd-vv-20180320t214845-20180320t214910-021104-02442b-001.png,8,0.09893593960781377,6.278843881314566,0.04295715345764439,0.9991196387357428,0.09772433734196284,0.013725474708428415
SAR,s1a-iw-grd-vv-20180320t214845-20180320t214910-021104-02442b-001.png,3,0.013534615728225119,4.652232062597295,0.02275798913993594,1.2764131005885915,0.10371800086827147,0.034478988043311794
SAR,s1a-iw-grd-vv-20180320t214845-20180320t214910-021104-02442b-001.png,2,0.0025863645422048165,3.7666651231174733,0.04416502056536005,0.9053255788784195,0.0720648803794653,0.012731147505441043
SAR,s1a-iw-grd-vv-20180320t214845-20180320t214910-021104-02442b-001.png,4,0.02526692948936926,6.4124881300520205,0.0545968628761069,0.6109424283425356,0.053943630564143516,0.016698401142318464
SAR,s1a-iw-grd-vv-20180320t214845-20180320t214910-021104-02442b-001.png,1,0.000823974857328269,11.824061157052114,0.0845732184808144,0.5471655296401501,0.04597223362766033,0.0
SAR,637.png,4,0.18365490016553743,3.6898940302720358,0.08075559911028415,0.1291610106498165,0.016344402232407903,0.09486280108216952
SAR,637.png,2,0.007277960088879043,25.109856657653822,0.0247864014288798,0.19764676048457558,0.02431491549663574,0.15580128806622082
SAR,637.png,2,0.009959222649419397,1.2733886984563438,0.08446818052586733,0.1396092848917843,0.017363493907623706,0.05195221812638363
SAR,637.png,1,5.93768854594565e-05,23.95729980597231,0.03351206434316354,0.15527784345745332,0.019782860201146866,0.0
